"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV_LIST","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","EVAL","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"5845b","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),sečení,invaze nějakého druhu (neofyty),vývoj biocenózy, sukcese všeobecně",0,0,1,2,0,1,48053798,2019-07-18,NA
"5546a","CZ0424030","Bezručovo údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51306617,NA,2021-08-11
"5348b","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,48053758,2019-08-11,NA
"5349a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,26275598,NA,2006-08-03
"5447a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,1,1,"pastva",0,0,1,2,0,1,46498565,2018-07-21,NA
"5254c","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48054064,2019-08-16,2019-08-16
"5353a","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52924035,NA,2022-07-02
"5353b","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,0,1,3,0.5,1,52600038,2021-07-23,2021-07-23
"5354a","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,37100108,NA,2016-07-19
"5354c","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,sečení",0,0,1,3,0.5,1,50258252,2020-08-07,2020-08-07
"5457c","CZ0514113","Podtrosecká údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52961392,NA,2022-07-23
"5352c","CZ0514670","Ronov - Vlhošť","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,48053425,2019-07-24,2019-07-24
"5352d","CZ0514670","Ronov - Vlhošť","Phengaris nausithous","6179",1,1,1,"hnojení,sečení",0,0,1,3,0.5,1,46498351,2018-08-17,2018-08-17
"5563b","CZ0523014","Vladivostok","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49926013,NA,2020-07-24
"5658d","CZ0523273","Javorka a Cidlina - Sběř","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,46495186,NA,2013-07-18
"5764c","CZ0523275","Kačerov","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,47578105,NA,2019-07-31
"5763d","CZ0523291","Uhřínov - Benátky","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52979087,NA,2022-07-29
"5860c","CZ0533308","Bohdanečský rybník","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,32366739,NA,2013-07-28
"5960a","CZ0533308","Bohdanečský rybník","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,52919469,2021-07-24,2021-07-24
"6161b","CZ0534051","Anenské údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51284242,NA,2021-07-27
"6261b","CZ0534055","Ratajské rybníky","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51176294,NA,2021-07-19
"5958d","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51333904,NA,2021-07-19
"5959a","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290653,NA,2021-07-29
"5959c","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290675,NA,2021-07-29
"5959d","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51291202,NA,2021-07-29
"6362d","CZ0613009","Niva Fryšávky","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,49920479,2020-08-14,2021-07-15
"6362b","CZ0613010","Údolí Svratky u Krásného","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49799062,NA,2019-07-29
"6463b","CZ0613012","Na Ostrážné","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49907158,NA,2020-08-01
"6567a","CZ0713388","Protivanov","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51284982,NA,2021-07-28
"5669a","CZ0713395","Vidnava","Phengaris nausithous","6179",1,1,1,"sečení",0,1,1,4,0.5,1,50258637,2020-08-13,2020-08-13
"6167a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,46456668,NA,2018-03-15
"6167d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,39813849,NA,2017-07-17
"6267b","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48054162,2019-08-02,2020-07-21
"6267d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"sečení",0,1,1,4,0.5,1,48054121,2019-07-26,2020-07-29
"6268c","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48053372,2019-07-21,2019-07-28
"6268d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"zaplavování",0,NA,1,3,0.5,0,48053522,2019-08-02,2019-07-21
"6368a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,36569618,NA,2015-07-22
"6368b","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,45716230,NA,2018-07-18
"6369a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,48053684,2019-07-21,2019-07-30
"6369c","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,48053526,2019-08-01,2022-07-18
"6569b","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",0,NA,NA,NA,NA,NA,0,0,0,0,39814586,NA,NA
"6569d","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,46494991,NA,2014-08-07
"6669b","CZ0714085","Morava - Chropyňský luh","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,46494988,NA,2014-08-07
