"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0214012","Příhrazské skály","Krtola","Rhinolophus hipposideros","1303",NA,NA,NA,8,718,538,529,NA,2016-09-10,0
"CZ0214012","Příhrazské skály","Krtola u Příhraz - jeskyně","Rhinolophus hipposideros","1303",NA,NA,NA,8,718,538,529,0,2020-01-15,0
"CZ0214012","Příhrazské skály","Mužský","Rhinolophus hipposideros","1303",1,1,8,8,718,538,529,0,2021-10-07,1
"CZ0214012","Příhrazské skály","Žďár u Mnichova Hradiště","Rhinolophus hipposideros","1303",1,1,NA,8,718,538,529,NA,2021-07-15,1
"CZ0214016","Želivka","Švihov - chodba v hrázi nádrže Želivka","Barbastella barbastellus","1308",NA,NA,NA,0,17,16,14,0,2020-01-30,0
"CZ0214016","Želivka","Želivka - most","Barbastella barbastellus","1308",NA,NA,NA,0,17,16,14,NA,2016-02-02,0
"CZ0214017","Karlštejn - Koda","3. štola u trati","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","Alkazar","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2016-10-04,0
"CZ0214017","Karlštejn - Koda","Alkazar - Kozel","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2019-01-28,0
"CZ0214017","Karlštejn - Koda","Barrandova jeskyně","Barbastella barbastellus","1308",1,1,3,60,25,34,40,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","Budňany - sklep pod konírnou na hradě Karlštejn","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,0,2020-01-31,0
"CZ0214017","Karlštejn - Koda","Černý lom - chodba","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2019-01-31,0
"CZ0214017","Karlštejn - Koda","Devítikorunová jeskyně","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-02-01,1
"CZ0214017","Karlštejn - Koda","Drahuščina štola","Barbastella barbastellus","1308",1,1,2,60,25,34,40,0,2021-02-02,1
"CZ0214017","Karlštejn - Koda","Gaislerova štola","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-02-02,1
"CZ0214017","Karlštejn - Koda","Hostim u Berouna","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Houmelesí štoly","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","jeskyně Kádelnice","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","jeskyně Metro","Barbastella barbastellus","1308",1,1,7,60,25,34,40,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","jeskyně Nad Kačákem","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2022-02-02,1
"CZ0214017","Karlštejn - Koda","jeskyně Oblézačka","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-02-01,1
