"POLE","SITECODE","NAZEV","DRUH","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","TARGET_MON","OVERALL","LAST_TARGET_MON","LAST_FIND"
"6468b","CZ0714083","Malý Kosíř","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-07-14
"6370a","CZ0714772","Údolí Bystřice","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-25
"7071c","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-22
"7071d","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-14
"7072b","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2011-08-07
"7072c","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2022-08-04
"7072d","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2022-08-04
"7073a","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,1,1,0,1,3,2021-08-07,2021-08-07
"7073c","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-08
"7171a","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-16
"7171b","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-08-15
"7171c","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-07-25
"7171d","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-08
"7172a","CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-08-03
"6974a","CZ0724430","Vlárský průsmyk","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-08-14
"6974b","CZ0724430","Vlárský průsmyk","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2015-08-24
"6974c","CZ0724430","Vlárský průsmyk","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2022-07-19
"6173a","CZ0813474","Údolí Moravice","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2010-07-07
"6173c","CZ0813474","Údolí Moravice","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-08-16
