"EVL_SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","ZASTIN_P10","OVERALL","SUFFICIENT_SITES","TOTAL_SITES","SUFFICIENT_PERC"
"CZ0613003","Maršovec a Čepička","Bombina bombina",1,NA,1,1,1,1,1,0.333333333333333,1,1,1,0.5,0,3,0
"CZ0613013","Šilhánky","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0613336","V kopaninách","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0613338","Vetelské rybníky","Bombina bombina",0.5,0,1,1,0.875,1,1,0,1,1,1,0.25,0,8,0
"CZ0613809","Dívka","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,4,0
"CZ0614057","Znětínské rybníky","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0,3,0
"CZ0623010","Hevlínské jezero","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0,1,0
"CZ0623027","Šumické rybníky","Bombina bombina",0,0,1,0.8,0.4,0.4,0.8,0.4,1,1,1,0,0,5,0
"CZ0623030","Vrbovecký rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0623348","Jankovec","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0623365","Rakšické louky","Bombina bombina",0.8,0,1,1,0.9,1,1,0.3,1,1,1,0.4,0,10,0
"CZ0623772","Božický mokřad","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ0623793","Úvalský rybník","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0,1,0
"CZ0623799","Drnholecký luh","Bombina bombina",0.615384615384615,0,1,1,0.923076923076923,1,1,0.692307692307692,1,1,1,0.307692307692308,0,13,0
"CZ0624070","Hodonínská doubrava","Bombina bombina",0.211538461538462,0,1,1,0.634615384615385,0.980769230769231,1,0.307692307692308,1,1,1,0.105769230769231,0,52,0
"CZ0624099","Niva Dyje","Bombina bombina",1,NA,1,1,0.916666666666667,1,1,0,1,1,1,0.5,0,12,0
"CZ0624119","Soutok - Podluží","Bombina bombina",1,NA,1,1,1,1,1,0.7,1,1,1,0.5,0,10,0
"CZ0713008","Deylův ostrůvek","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0713394","Dolní a Prostřední Svrčov","Bombina bombina",0.4,NA,1,1,0.6,0.4,1,NA,1,1,1,0.2,0,5,0
"CZ0714082","Bečva - Žebračka","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0,5,0
"CZ0723413","Ovčírka","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0,1,0
"CZ0723423","Skalky","Bombina bombina",0.333333333333333,0,1,1,0.777777777777778,1,1,0.111111111111111,1,1,1,0.166666666666667,0,9,0
"CZ0723424","Stonáč","Bombina bombina",1,NA,1,1,1,0,1,0.333333333333333,1,1,1,0.5,0,3,0
"CZ0723426","Střížovice","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0,1,0
"CZ0813439","Děhylovský potok - Štěpán","Bombina bombina",0.333333333333333,NA,1,1,1,1,1,NA,1,1,1,0.166666666666667,0,3,0
"CZ0813460","Osoblažský výběžek","Bombina bombina",0,0,1,1,1,1,1,0.333333333333333,1,1,1,0,0,4,0
"CZ0814092","Poodří","Bombina bombina",0.777777777777778,0,1,1,0.888888888888889,1,1,0,1,1,1,0.388888888888889,0,9,0
