"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","LAST_TARGET_MON","LAST_FIND"
"5764c","CZ0523275","Kačerov","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2019-07-31
"5763d","CZ0523291","Uhřínov - Benátky","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2022-07-29
"5860c","CZ0533308","Bohdanečský rybník","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2013-07-28
"5960a","CZ0533308","Bohdanečský rybník","Phengaris nausithous","6179",1,0,1,1,1,1,4,2021-07-24,2021-07-24
"6161b","CZ0534051","Anenské údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-27
"6261b","CZ0534055","Ratajské rybníky","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-19
"5958d","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-19
"5959a","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-29
"5959c","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-29
"5959d","CZ0537011","Louky u Přelouče","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-29
"6362d","CZ0613009","Niva Fryšávky","Phengaris nausithous","6179",1,1,1,0,1,1,4,2020-08-14,2021-07-15
"6362b","CZ0613010","Údolí Svratky u Krásného","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2019-07-29
"6463b","CZ0613012","Na Ostrážné","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2020-08-01
"6567a","CZ0713388","Protivanov","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-28
"5669a","CZ0713395","Vidnava","Phengaris nausithous","6179",1,1,1,0,1,1,4,2020-08-13,2020-08-13
"6167a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2018-03-15
"6167d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2017-07-17
"6267b","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,0,1,0,1,1,3,2019-08-02,2020-07-21
"6267d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,0,1,1,4,2019-07-26,2020-07-29
"6268c","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,0,1,1,4,2019-07-21,2019-07-28
"6268d","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,1,1,0,NA,1,3,2019-08-02,2019-07-21
"6368a","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2015-07-22
"6368b","CZ0714073","Litovelské Pomoraví","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2018-07-18
