"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","OVERALL","SUFFICIENT"
"amp","","Čížovský lesní rybník","Triturus carnifex",1,1,1,1,1,1,1,NA,1,1,0.5,0
"CZ0623011","CZ0623011","Tasovický lom","Triturus carnifex",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0623345","CZ0623345","Citonice","Triturus carnifex",1,0,1,1,1,1,1,NA,1,1,0.5,0
"CZ0623360","CZ0623360","Podmolí - strouha","Triturus carnifex",0,0,1,1,1,1,1,1,1,1,0,0
