"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE","POP","HABLOS","PRED","TRANSP","REPRO","WATER","DRY","VEG","OVERALL","SUFFICIENT"
"amp276","amp276","V Pouštích -  Lovětínský","Bombina bombina",1,0,1,1,1,1,1,1,NA,NA,NA
"amp277","amp277","V Pouštích - Stonařovský","Bombina bombina",1,1,1,1,1,1,1,1,NA,NA,NA
"amp278","amp278","V Pouštích - Jezírko","Bombina bombina",0,0,1,1,0,1,1,1,NA,0,0
"amp279","amp279","U Borovné - Nový ryb.","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"amp280","amp280","U Borovné - Šilhan","Bombina bombina",0,0,1,1,1,1,1,1,0,0,0
"amp281","amp281","U Borovné - rybníčky","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"amp285","amp285","Ostřice - malý rybník","Bombina bombina",0,0,1,0,0,1,1,1,NA,0,0
"amp286","amp286","Ostřice - velký rybník","Bombina bombina",0,0,1,0,0,1,1,1,NA,0,0
"amp293","amp293","NPR Polanská niva - rybník Malý váček","Bombina bombina",1,0,1,1,0,1,1,1,NA,NA,NA
"amp294","amp294","NPR Polanská niva - rybník Zimní","Bombina bombina",1,0,1,1,0,1,1,1,NA,NA,NA
"amp295","amp295","NPR Polanská niva - rybník Velký váček","Bombina bombina",1,0,1,1,0,1,1,1,NA,NA,NA
"amp312","amp312","NPR Polanská niva - rybník Kačírek","Bombina bombina",1,NA,1,1,0,1,1,1,NA,NA,NA
"amp315pok","amp315pokus","pokus","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp339","amp339","Lazy","Bombina bombina",0,NA,1,0,NA,1,0,1,NA,0,0
"amp340","amp340","Vočert","Bombina bombina",1,NA,1,0,NA,1,1,1,NA,NA,NA
"amp43","amp43","Rybníky u Třebína","Bombina bombina",1,1,1,0,1,1,1,1,NA,NA,NA
"amp43","amp43a","Velký Hajský","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43b","Doubí","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp43","amp43c","Žabinec","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
