"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0214017","Karlštejn - Koda","Barrandova jeskyně","Barbastella barbastellus","1308",1,1,1,27,60,25,34,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","Budňany - sklep pod konírnou na hradě Karlštejn","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2020-01-31,0
"CZ0214017","Karlštejn - Koda","Černý lom - chodba","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2019-01-31,0
"CZ0214017","Karlštejn - Koda","Devítikorunová jeskyně","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-01,0
"CZ0214017","Karlštejn - Koda","Drahuščina štola","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","Gaislerova štola","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","Hostim u Berouna","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Houmelesí štoly","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","jeskyně Kádelnice","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","jeskyně Metro","Barbastella barbastellus","1308",1,1,1,27,60,25,34,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","jeskyně Nad Kačákem","Barbastella barbastellus","1308",1,1,1,27,60,25,34,1,2022-02-02,2
"CZ0214017","Karlštejn - Koda","jeskyně Oblézačka","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-01,0
"CZ0214017","Karlštejn - Koda","jeskyně V Kodském polesí","Barbastella barbastellus","1308",1,1,1,27,60,25,34,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","jeskyně Ve stráni","Barbastella barbastellus","1308",1,1,2,27,60,25,34,0,2022-02-02,1
"CZ0214017","Karlštejn - Koda","Karlštejn - hradní studna","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2017-01-24,0
"CZ0214017","Karlštejn - Koda","kruhová pec v Tomáškově lomu","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2020-01-26,0
"CZ0214017","Karlštejn - Koda","levá štola v lomu Rybízák","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-05,0
"CZ0214017","Karlštejn - Koda","Malá Amerika","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-26,0
"CZ0214017","Karlštejn - Koda","Malá Romanovského štola","Barbastella barbastellus","1308",1,1,2,27,60,25,34,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","NPR Koda - Kodská jeskyně","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2020-01-30,0
"CZ0214017","Karlštejn - Koda","pravá štola v lomu Rybízák","Barbastella barbastellus","1308",1,1,1,27,60,25,34,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","propast Amerika II.","Barbastella barbastellus","1308",1,1,1,27,60,25,34,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","Romanovského štola","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","Rudolfova jeskyně","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2017-01-31,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna - štola v Petzoldově lomu","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-01-31,0
"CZ0214017","Karlštejn - Koda","Svážná Rešna","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","štola Modlitebna","Barbastella barbastellus","1308",1,1,1,27,60,25,34,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","Štola v rokli","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-01-31,0
"CZ0214017","Karlštejn - Koda","štola v Tetínské rokli","Barbastella barbastellus","1308",1,1,1,27,60,25,34,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","štola za trafačkou v Tomáškově lomu","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-01-31,0
"CZ0214017","Karlštejn - Koda","štoly v lomu Kozel - Alkazar","Barbastella barbastellus","1308",1,1,13,27,60,25,34,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Terasová jeskyně","Barbastella barbastellus","1308",1,1,1,27,60,25,34,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","Tetínská chodba","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,NA,2018-01-29,0
"CZ0214017","Karlštejn - Koda","Troj-štolí","Barbastella barbastellus","1308",1,1,1,27,60,25,34,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Velikonoční štola","Barbastella barbastellus","1308",NA,NA,NA,27,60,25,34,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","3. štola u trati","Myotis myotis","1324",1,1,1,587,1202,1200,704,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Alkazar - Kozel","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2019-01-28,0
"CZ0214017","Karlštejn - Koda","Aragonitová jeskyně","Myotis myotis","1324",1,1,2,587,1202,1200,704,0,2022-01-29,1
"CZ0214017","Karlštejn - Koda","Barrandova jeskyně","Myotis myotis","1324",1,1,1,587,1202,1200,704,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Budňany - Rudolfka","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2019-01-30,0
"CZ0214017","Karlštejn - Koda","Budňany - sklep pod konírnou na hradě Karlštejn","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-01-31,0
"CZ0214017","Karlštejn - Koda","Černý lom - chodba","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-01-28,0
"CZ0214017","Karlštejn - Koda","Devítikorunová jeskyně","Myotis myotis","1324",1,1,1,587,1202,1200,704,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","Gaislerova štola","Myotis myotis","1324",1,1,41,587,1202,1200,704,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","Gaislerova štola, Liščí lom","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-21,0
"CZ0214017","Karlštejn - Koda","Hostim u Berouna","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Jeskyně Arnoldka","Myotis myotis","1324",1,1,141,587,1202,1200,704,1,2022-01-29,2
"CZ0214017","Karlštejn - Koda","jeskyně Dynamitka","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-03,0
"CZ0214017","Karlštejn - Koda","jeskyně Kádelnice","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-01-31,0
"CZ0214017","Karlštejn - Koda","jeskyně Kostelík","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-01-26,0
"CZ0214017","Karlštejn - Koda","jeskyně Metro","Myotis myotis","1324",1,1,6,587,1202,1200,704,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","jeskyně Na Jarnici","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-05,0
"CZ0214017","Karlštejn - Koda","jeskyně Nad Kačákem","Myotis myotis","1324",1,1,2,587,1202,1200,704,0,2022-02-02,1
"CZ0214017","Karlštejn - Koda","jeskyně V Kodském polesí","Myotis myotis","1324",1,1,1,587,1202,1200,704,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Karlštejn - hrad Císařský palác","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-08-02,0
"CZ0214017","Karlštejn - Koda","Karlštejn - hradní studna","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-02-16,0
"CZ0214017","Karlštejn - Koda","Krápníková jeskyně v Šanově koutě","Myotis myotis","1324",1,1,1,587,1202,1200,704,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","kruhová pec v Tomáškově lomu","Myotis myotis","1324",1,1,4,587,1202,1200,704,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Loděnice","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2017-07-25,0
"CZ0214017","Karlštejn - Koda","Malá Amerika","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-26,0
"CZ0214017","Karlštejn - Koda","Malá Romanovského štola","Myotis myotis","1324",1,1,1,587,1202,1200,704,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","pravá štola v lomu Rybízák","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-05,0
"CZ0214017","Karlštejn - Koda","propast Amerika II.","Myotis myotis","1324",1,1,131,587,1202,1200,704,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","propast Čeřinka","Myotis myotis","1324",1,1,23,587,1202,1200,704,1,2022-01-29,2
"CZ0214017","Karlštejn - Koda","Průtahová štola","Myotis myotis","1324",1,1,7,587,1202,1200,704,0,2022-01-29,1
"CZ0214017","Karlštejn - Koda","Romanovského štola","Myotis myotis","1324",1,1,3,587,1202,1200,704,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","Rudolfova jeskyně","Myotis myotis","1324",1,1,3,587,1202,1200,704,1,2022-02-02,2
"CZ0214017","Karlštejn - Koda","Sedmisálová jeskyně","Myotis myotis","1324",1,1,4,587,1202,1200,704,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Srbské jeskyně","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","Srbské jeskyně a jeskyně Netopýrka","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","Srbsko - lom Alkazar","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2021-08-21,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-07-19,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna - Chlumské jeskyně","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-01-31,0
"CZ0214017","Karlštejn - Koda","Stará Aragonitka","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-01-30,0
"CZ0214017","Karlštejn - Koda","Svatý Jan pod Skalou - půda kostela","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2020-07-25,0
"CZ0214017","Karlštejn - Koda","Svatý Jan pod skalou - sklepy v klášteře","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-03,0
"CZ0214017","Karlštejn - Koda","Svážná Rešna","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-02,0
"CZ0214017","Karlštejn - Koda","štola Modlitebna","Myotis myotis","1324",1,1,1,587,1202,1200,704,0,2022-02-03,1
"CZ0214017","Karlštejn - Koda","štola v Beranově lomu","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-03,0
"CZ0214017","Karlštejn - Koda","Štola v rokli","Myotis myotis","1324",1,1,2,587,1202,1200,704,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","štola v Tetínské rokli","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-01,0
"CZ0214017","Karlštejn - Koda","Štoly v lomu Alkazar - levá","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,NA,2019-08-09,0
"CZ0214017","Karlštejn - Koda","štoly v lomu Kozel - Alkazar","Myotis myotis","1324",1,1,191,587,1202,1200,704,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Terasová jeskyně","Myotis myotis","1324",1,1,1,587,1202,1200,704,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","Tetínská chodba","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-01,0
"CZ0214017","Karlštejn - Koda","Tetínská propástka II","Myotis myotis","1324",1,1,2,587,1202,1200,704,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Tomáškova propast","Myotis myotis","1324",1,1,15,587,1202,1200,704,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Troj-štolí","Myotis myotis","1324",1,1,2,587,1202,1200,704,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Velikonoční štola","Myotis myotis","1324",NA,NA,NA,587,1202,1200,704,0,2021-02-02,0
"CZ0313635","Kratochvíle - zámek","Kratochvíle-zámek","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2017-07-28,0
"CZ0314024","Šumava","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ","Myotis myotis","1324",NA,NA,NA,0,0,1,0,NA,2017-11-11,0
"CZ0314024","Šumava","Červená 18, 341 92 Kašperské Hory, Česko","Myotis myotis","1324",NA,NA,NA,0,0,1,0,NA,2017-11-11,0
"CZ0314024","Šumava","Klatovy, Krkonošská národní park, CZ-PK, CZ","Myotis myotis","1324",NA,NA,NA,0,0,1,0,NA,2017-11-11,0
"CZ0314024","Šumava","NPR Boubínský prales","Myotis myotis","1324",NA,NA,NA,0,0,1,0,NA,2020-08-27,0
"CZ0314024","Šumava","PR Milešický prales 1154","Myotis myotis","1324",NA,NA,NA,0,0,1,0,NA,2020-08-16,0
"CZ0314024","Šumava","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,0,NA,2017-11-11,0
