SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0210720;7230;NA;NA;NA
CZ0210721;7220;NA;NA;NA
CZ0210726;91U0;1,172291053;0;2
CZ0210729;4030;NA;NA;NA
CZ0210729;8220;NA;NA;NA
CZ0210729;6190;NA;NA;NA
CZ0210729;8230;NA;NA;NA
CZ0210729;6210;NA;NA;NA
CZ0210729;6110;NA;NA;NA
CZ0210730;2330;NA;NA;NA
CZ0210731;7140;NA;NA;NA
CZ0210732;6230;NA;NA;NA
CZ0210732;7140;NA;NA;NA
CZ0210733;4030;NA;NA;NA
CZ0210733;2330;NA;NA;NA
CZ0210734;5130;NA;NA;NA
CZ0212001;3130;NA;NA;NA
CZ0212019;7220;NA;NA;NA
CZ0212019;9,10E+01;0,077312899;0;1
CZ0212019;9190;0,395927467;0;1
CZ0212019;9150;0,121376978;0;1
CZ0212019;7230;NA;NA;NA
CZ0212020;7140;NA;NA;NA
CZ0212020;7230;NA;NA;NA
CZ0212021;6410;NA;NA;NA
CZ0212023;2330;NA;NA;NA
CZ0213065;40A0;NA;NA;NA
CZ0213065;6190;NA;NA;NA
CZ0213065;6210;NA;NA;NA
CZ0213802;9170;1,602943079;1,172449641;3
CZ0213802;8220;NA;NA;NA
CZ0213802;40A0;NA;NA;NA
CZ0213802;9180;0,030893707;0;3
CZ0213802;6190;NA;NA;NA
CZ0214002;9130;0,0002029;0;2
CZ0214002;9170;0,829066309;0;9
CZ0214002;91I0;0,000875502;0;1
CZ0214002;6510;NA;NA;NA
CZ0214002;8210;NA;NA;NA
CZ0214002;8310;NA;NA;NA
CZ0214002;40A0;NA;NA;NA
CZ0214002;9180;0,156920483;0;3
CZ0214002;91H0;0,255629916;0;3
CZ0214002;7220;NA;NA;NA
CZ0214002;8230;NA;NA;NA
CZ0214002;6210;NA;NA;NA
CZ0214002;6210p;NA;NA;NA
CZ0214002;9150;0,024491301;0;2
CZ0214002;8160;NA;NA;NA
CZ0214003;9170;0,517606362;0;9
CZ0214003;5130;NA;NA;NA
CZ0214003;8310;NA;NA;NA
CZ0214003;6210;NA;NA;NA
CZ0214003;6110;NA;NA;NA
CZ0214004;9170;1,986209785;1,253189909;4
CZ0214004;6510;NA;NA;NA
CZ0214004;2330;NA;NA;NA
CZ0214004;9190;0;0;0
