"SITECODE","NAZEV","FEATURE_CODE","DRUH","PRESENCE","PRESENCE_WINTER","ABUNDANCE","CHANGE_SITES","CHANGE_NUM","CHANGE_ALL","OVERALL","SUFFICIENT","LAST_FIND"
"CZ0513663","Podhájí - chalupa","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0513665","Skalice u České Lípy","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0513666","Jeskyně Sklepy pod Troskami","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0513668","Zdislava - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0514041","Suchý vrch - Naděje","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0514041","Suchý vrch - Naděje","1323","Myotis bechsteinii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0514113","Podtrosecká údolí","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-07-11
"CZ0514243","Velký a Malý Bezděz","1323","Myotis bechsteinii",1,1,11,NA,Inf,1,1,1,2021-06-18
"CZ0514667","Západní jeskyně","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-23
"CZ0514668","Vápenice - Basa","1308","Barbastella barbastellus",NA,NA,0,NA,NA,NA,0,NA,2019-08-09
"CZ0514668","Vápenice - Basa","1323","Myotis bechsteinii",NA,NA,0,NA,NA,NA,0,NA,2019-08-30
"CZ0523009","Zámek v Kostelci nad Orlicí","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-21
"CZ0523669","Bílá Třemešná","1308","Barbastella barbastellus",NA,NA,0,NA,NA,NA,0,NA,2017-12-29
"CZ0523675","Jičíněves - zámek","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-06-26
"CZ0523676","Josefov - pevnost","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-15
"CZ0523677","Kost","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-06-13
"CZ0523680","Pevnost Dobrošov","1321","Myotis emarginatus",NA,NA,0,NA,NA,NA,0,NA,2018-01-06
"CZ0523680","Pevnost Dobrošov","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2018-01-06
"CZ0523680","Pevnost Dobrošov","1303","Rhinolophus hipposideros",NA,NA,0,NA,NA,NA,0,NA,2018-01-06
"CZ0523682","Staré Hrady - zámek","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-06-07
"CZ0523683","Štola Portál","1308","Barbastella barbastellus",NA,NA,0,NA,NA,NA,0,NA,2018-01-05
"CZ0523683","Štola Portál","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2018-01-05
"CZ0533684","Běstvina - krypta","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0533685","Borová u Poličky","1303","Rhinolophus hipposideros",NA,NA,0,NA,NA,NA,0,NA,2019-06-19
"CZ0533686","Bouda u Těchonína","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0533686","Bouda u Těchonína","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0533687","Jeskyně Bětník","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0533688","Jeskyně u Horního Újezda","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0533691","Pařížov","1308","Barbastella barbastellus",NA,NA,0,NA,NA,NA,0,NA,2017-01-19
"CZ0533693","Podolská a Páterova jeskyně","1321","Myotis emarginatus",NA,NA,0,NA,0,0,0,NA,2020-02-09
"CZ0533693","Podolská a Páterova jeskyně","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-09
"CZ0533694","Vranová Lhota","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-06-28
"CZ0613002","Roštejnská obora","1308","Barbastella barbastellus",1,1,30,NA,Inf,1,1,1,2021-07-13
"CZ0613695","Biskupice - kostel","1324","Myotis myotis",1,1,200,1,2.85714285714286,1,2,1,2021-07-13
"CZ0613696","Biskupice - škola","1324","Myotis myotis",1,1,28,1,1.4,1,2,1,2021-07-13
"CZ0613698","Jeřišno - Heřmaň","1324","Myotis myotis",1,1,360,1,0.569620253164557,1,2,1,2021-06-29
"CZ0613699","Náměšť nad Oslavou - zámeček","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0613700","Žďár nad Sázavou - garáže","1321","Myotis emarginatus",1,1,323,NA,1.35714285714286,1,0.333333333333333,1,2021-07-01
"CZ0623003","Břeclav - kaple u nádraží","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623016","Lednice - zámek","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-15
"CZ0623034","Znojmo - Kostel Nalezení sv. kříže","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623329","Prudká","1321","Myotis emarginatus",NA,NA,0,NA,NA,NA,0,NA,2018-06-10
"CZ0623329","Prudká","1303","Rhinolophus hipposideros",NA,NA,0,NA,NA,NA,0,NA,2019-07-07
"CZ0623697","Doubravník - kostel","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2019-06-22
"CZ0623701","Blansko - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623702","Borotín - zámek","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623703","Dědice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623704","Dlouhá Lhota","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623707","Starý zámek Jevišovice","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-01
"CZ0623708","Nový zámek Jevišovice","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623709","Křetín - zámek","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623710","Křtiny - kostel","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-07
"CZ0623710","Křtiny - kostel","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-07-07
"CZ0623711","Lipov - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623713","Rosice - zámek","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623717","Tavíkovice - zámek","1321","Myotis emarginatus",NA,NA,0,NA,0,0,0,NA,2020-07-01
"CZ0623718","Uherčice - zámek","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-07-01
"CZ0623719","Vranov nad Dyjí - základní škola","1321","Myotis emarginatus",NA,NA,0,NA,0,0,0,NA,2020-06-17
"CZ0623775","Bučovice - zámek","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623778","Emin zámeček","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623781","Klentnice - kostel svatého Jiří","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623782","Rybniční zámeček","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623788","Popice - fara","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0624064","Krumlovský les","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
